# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Canard,0,FXPTRHLMCG,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
6.666666666666669627e-01, 1.999999999999999556e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 0.000000000000000000e+00
6.157192442518051312e-01, 1.999999999999999556e+00, -9.718364758565512657e-03, 1.199999999999999956e+00, 4.173311976788848798e-02
5.424420114294580264e-01, 1.999999999999999556e+00, -2.333574222815632329e-02, 1.199999999999999956e+00, 9.595583006934514658e-02
4.392004013310836230e-01, 1.999999999999999556e+00, -4.182551103758742200e-02, 1.199999999999999956e+00, 1.722603643809275942e-01
2.978984789062898986e-01, 1.999999999999999556e+00, -6.586027618435011388e-02, 1.199999999999999956e+00, 2.765358755368439447e-01
1.119982909068009402e-01, 1.999999999999999556e+00, -9.529882920060972484e-02, 1.199999999999999956e+00, 4.134663504172014781e-01
-1.202617311293253943e-01, 1.999999999999999556e+00, -1.285369664118767297e-01, 1.199999999999999956e+00, 5.841612375912467181e-01
-3.924364803228632681e-01, 1.999999999999999556e+00, -1.619659718089173084e-01, 1.199999999999999956e+00, 7.836633902842906618e-01
-6.884605399881860155e-01, 1.999999999999999556e+00, -1.900520699704506544e-01, 1.199999999999999956e+00, 1.000000000000000000e+00
-9.853415885748842973e-01, 1.999999999999999556e+00, -2.065834073208981381e-01, 1.199999999999999956e+00, 1.216336609715709338e+00
-1.259524918093036128e+00, 1.999999999999999556e+00, -2.070786131638089334e-01, 1.199999999999999956e+00, 1.415838762408753171e+00
-1.493526453481766936e+00, 1.999999999999999556e+00, -1.907875460706631165e-01, 1.199999999999999956e+00, 1.586533649582798411e+00
-1.679461013755976229e+00, 1.999999999999999556e+00, -1.618866051971781239e-01, 1.199999999999999956e+00, 1.723464124463156111e+00
-1.818569989032884582e+00, 1.999999999999999556e+00, -1.275921790756984753e-01, 1.199999999999999956e+00, 1.827739635619072267e+00
-1.916010427322230925e+00, 1.999999999999999556e+00, -8.916657956046136757e-02, 1.199999999999999956e+00, 1.904044169930654951e+00
-1.975717828499705675e+00, 1.999999999999999556e+00, -4.521597538694883955e-02, 1.199999999999999956e+00, 1.958266880232111484e+00
-2.000000000000000000e+00, 1.999999999999999556e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 2.000000000000000000e+00
-1.996789147120594521e+00, 1.999999999999999556e+00, 5.229806645875981208e-02, 1.199999999999999956e+00, 2.041733119767888294e+00
-1.953827970457598262e+00, 1.999999999999999556e+00, 1.145692445162907885e-01, 1.199999999999999956e+00, 2.095955830069344827e+00
-1.865422284643349027e+00, 1.999999999999999556e+00, 1.749390019556259501e-01, 1.199999999999999956e+00, 2.172260364380927733e+00
-1.727975485329156680e+00, 1.999999999999999556e+00, 2.257657543012888124e-01, 1.199999999999999956e+00, 2.276535875536843889e+00
-1.538277917840220610e+00, 1.999999999999999556e+00, 2.590370240536900015e-01, 1.199999999999999956e+00, 2.413466350417201589e+00
-1.298396841935344881e+00, 1.999999999999999556e+00, 2.719769175859393928e-01, 1.199999999999999956e+00, 2.584161237591246607e+00
-1.017672419399386241e+00, 1.999999999999999556e+00, 2.648718265418571471e-01, 1.199999999999999956e+00, 2.783663390284290440e+00
-7.141996682162961019e-01, 1.999999999999999556e+00, 2.394396850404428845e-01, 1.199999999999999956e+00, 3.000000000000000000e+00
-4.120289668914788317e-01, 1.999999999999999556e+00, 2.014335580381246826e-01, 1.199999999999999956e+00, 3.216336609715709116e+00
-1.344994089804772697e-01, 1.999999999999999556e+00, 1.583125311811741376e-01, 1.199999999999999956e+00, 3.415838762408752949e+00
1.021455759401976998e-01, 1.999999999999999556e+00, 1.165201935810703804e-01, 1.199999999999999956e+00, 3.586533649582798411e+00
2.914452922537731361e-01, 1.999999999999999556e+00, 8.008664784017452409e-02, 1.199999999999999956e+00, 3.723464124463156111e+00
4.352669099963437649e-01, 1.999999999999999556e+00, 5.065628284332514275e-02, 1.199999999999999956e+00, 3.827739635619072267e+00
5.403133141353264612e-01, 1.999999999999999556e+00, 2.818131669458876290e-02, 1.199999999999999956e+00, 3.904044169930655173e+00
6.148520928489951132e-01, 1.999999999999999556e+00, 1.171256558443017903e-02, 1.199999999999999956e+00, 3.958266880232111262e+00
6.666666666666669627e-01, 1.999999999999999556e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 4.000000000000000000e+00
6.666666666666669627e-01, 3.999999999999999112e+00, 0.000000000000000000e+00, 1.399999999999999911e+00, 0.000000000000000000e+00
6.157192442518051312e-01, 3.999999999999999112e+00, -9.718364758565512657e-03, 1.399999999999999911e+00, 4.173311976788848798e-02
5.424420114294580264e-01, 3.999999999999999112e+00, -2.333574222815632329e-02, 1.399999999999999911e+00, 9.595583006934514658e-02
4.392004013310836230e-01, 3.999999999999999112e+00, -4.182551103758742200e-02, 1.399999999999999911e+00, 1.722603643809275942e-01
2.978984789062898986e-01, 3.999999999999999112e+00, -6.586027618435011388e-02, 1.399999999999999911e+00, 2.765358755368439447e-01
1.119982909068009402e-01, 3.999999999999999112e+00, -9.529882920060972484e-02, 1.399999999999999911e+00, 4.134663504172014781e-01
-1.202617311293253943e-01, 3.999999999999999112e+00, -1.285369664118767297e-01, 1.399999999999999911e+00, 5.841612375912467181e-01
-3.924364803228632681e-01, 3.999999999999999112e+00, -1.619659718089173084e-01, 1.399999999999999911e+00, 7.836633902842906618e-01
-6.884605399881860155e-01, 3.999999999999999112e+00, -1.900520699704506544e-01, 1.399999999999999911e+00, 1.000000000000000000e+00
-9.853415885748844083e-01, 3.999999999999999112e+00, -2.065834073208981381e-01, 1.399999999999999911e+00, 1.216336609715709338e+00
-1.259524918093036128e+00, 3.999999999999999112e+00, -2.070786131638089334e-01, 1.399999999999999911e+00, 1.415838762408753171e+00
-1.493526453481766936e+00, 3.999999999999999112e+00, -1.907875460706631165e-01, 1.399999999999999911e+00, 1.586533649582798411e+00
-1.679461013755976229e+00, 3.999999999999999112e+00, -1.618866051971781517e-01, 1.399999999999999911e+00, 1.723464124463156111e+00
-1.818569989032884582e+00, 3.999999999999999112e+00, -1.275921790756984753e-01, 1.399999999999999911e+00, 1.827739635619072267e+00
-1.916010427322231147e+00, 3.999999999999999112e+00, -8.916657956046136757e-02, 1.399999999999999911e+00, 1.904044169930654951e+00
-1.975717828499705453e+00, 3.999999999999999112e+00, -4.521597538694883955e-02, 1.399999999999999911e+00, 1.958266880232111484e+00
-2.000000000000000000e+00, 3.999999999999999112e+00, 0.000000000000000000e+00, 1.399999999999999911e+00, 2.000000000000000000e+00
-1.996789147120594521e+00, 3.999999999999999112e+00, 5.229806645875981208e-02, 1.399999999999999911e+00, 2.041733119767888294e+00
-1.953827970457598262e+00, 3.999999999999999112e+00, 1.145692445162908024e-01, 1.399999999999999911e+00, 2.095955830069344827e+00
-1.865422284643349027e+00, 3.999999999999999112e+00, 1.749390019556259501e-01, 1.399999999999999911e+00, 2.172260364380927733e+00
-1.727975485329156680e+00, 3.999999999999999112e+00, 2.257657543012888124e-01, 1.399999999999999911e+00, 2.276535875536843889e+00
-1.538277917840220610e+00, 3.999999999999999112e+00, 2.590370240536900015e-01, 1.399999999999999911e+00, 2.413466350417201589e+00
-1.298396841935344881e+00, 3.999999999999999112e+00, 2.719769175859393928e-01, 1.399999999999999911e+00, 2.584161237591246607e+00
-1.017672419399386241e+00, 3.999999999999999112e+00, 2.648718265418571471e-01, 1.399999999999999911e+00, 2.783663390284290440e+00
-7.141996682162961019e-01, 3.999999999999999112e+00, 2.394396850404428567e-01, 1.399999999999999911e+00, 3.000000000000000000e+00
-4.120289668914788317e-01, 3.999999999999999112e+00, 2.014335580381246826e-01, 1.399999999999999911e+00, 3.216336609715709116e+00
-1.344994089804772697e-01, 3.999999999999999112e+00, 1.583125311811741376e-01, 1.399999999999999911e+00, 3.415838762408752949e+00
1.021455759401976998e-01, 3.999999999999999112e+00, 1.165201935810703804e-01, 1.399999999999999911e+00, 3.586533649582798411e+00
2.914452922537731361e-01, 3.999999999999999112e+00, 8.008664784017452409e-02, 1.399999999999999911e+00, 3.723464124463156111e+00
4.352669099963437649e-01, 3.999999999999999112e+00, 5.065628284332514275e-02, 1.399999999999999911e+00, 3.827739635619072267e+00
5.403133141353264612e-01, 3.999999999999999112e+00, 2.818131669458876637e-02, 1.399999999999999911e+00, 3.904044169930655173e+00
6.148520928489951132e-01, 3.999999999999999112e+00, 1.171256558443018077e-02, 1.399999999999999911e+00, 3.958266880232111262e+00
6.666666666666669627e-01, 3.999999999999999112e+00, 0.000000000000000000e+00, 1.399999999999999911e+00, 4.000000000000000000e+00
6.666666666666669627e-01, 6.000000000000000888e+00, 0.000000000000000000e+00, 1.600000000000000089e+00, 0.000000000000000000e+00
6.157192442518051312e-01, 6.000000000000000888e+00, -9.718364758565512657e-03, 1.600000000000000089e+00, 4.173311976788848798e-02
5.424420114294580264e-01, 6.000000000000000888e+00, -2.333574222815632329e-02, 1.600000000000000089e+00, 9.595583006934514658e-02
4.392004013310836230e-01, 6.000000000000000888e+00, -4.182551103758742200e-02, 1.600000000000000089e+00, 1.722603643809275942e-01
2.978984789062898986e-01, 6.000000000000000888e+00, -6.586027618435011388e-02, 1.600000000000000089e+00, 2.765358755368439447e-01
1.119982909068009402e-01, 6.000000000000000888e+00, -9.529882920060972484e-02, 1.600000000000000089e+00, 4.134663504172014781e-01
-1.202617311293253943e-01, 6.000000000000000888e+00, -1.285369664118767297e-01, 1.600000000000000089e+00, 5.841612375912467181e-01
-3.924364803228632681e-01, 6.000000000000000888e+00, -1.619659718089173084e-01, 1.600000000000000089e+00, 7.836633902842906618e-01
-6.884605399881860155e-01, 6.000000000000000888e+00, -1.900520699704506544e-01, 1.600000000000000089e+00, 1.000000000000000000e+00
-9.853415885748844083e-01, 6.000000000000000888e+00, -2.065834073208981381e-01, 1.600000000000000089e+00, 1.216336609715709338e+00
-1.259524918093036128e+00, 6.000000000000000888e+00, -2.070786131638089334e-01, 1.600000000000000089e+00, 1.415838762408753171e+00
-1.493526453481766936e+00, 6.000000000000000888e+00, -1.907875460706631165e-01, 1.600000000000000089e+00, 1.586533649582798411e+00
-1.679461013755976229e+00, 6.000000000000000888e+00, -1.618866051971781517e-01, 1.600000000000000089e+00, 1.723464124463156111e+00
-1.818569989032884582e+00, 6.000000000000000888e+00, -1.275921790756984753e-01, 1.600000000000000089e+00, 1.827739635619072267e+00
-1.916010427322231147e+00, 6.000000000000000888e+00, -8.916657956046136757e-02, 1.600000000000000089e+00, 1.904044169930654951e+00
-1.975717828499705453e+00, 6.000000000000000888e+00, -4.521597538694883955e-02, 1.600000000000000089e+00, 1.958266880232111484e+00
-2.000000000000000000e+00, 6.000000000000000888e+00, 0.000000000000000000e+00, 1.600000000000000089e+00, 2.000000000000000000e+00
-1.996789147120594521e+00, 6.000000000000000888e+00, 5.229806645875981208e-02, 1.600000000000000089e+00, 2.041733119767888294e+00
-1.953827970457598262e+00, 6.000000000000000888e+00, 1.145692445162908024e-01, 1.600000000000000089e+00, 2.095955830069344827e+00
-1.865422284643349027e+00, 6.000000000000000888e+00, 1.749390019556259501e-01, 1.600000000000000089e+00, 2.172260364380927733e+00
-1.727975485329156680e+00, 6.000000000000000888e+00, 2.257657543012888124e-01, 1.600000000000000089e+00, 2.276535875536843889e+00
-1.538277917840220610e+00, 6.000000000000000888e+00, 2.590370240536900015e-01, 1.600000000000000089e+00, 2.413466350417201589e+00
-1.298396841935344881e+00, 6.000000000000000888e+00, 2.719769175859393928e-01, 1.600000000000000089e+00, 2.584161237591246607e+00
-1.017672419399386241e+00, 6.000000000000000888e+00, 2.648718265418571471e-01, 1.600000000000000089e+00, 2.783663390284290440e+00
-7.141996682162961019e-01, 6.000000000000000888e+00, 2.394396850404428567e-01, 1.600000000000000089e+00, 3.000000000000000000e+00
-4.120289668914788317e-01, 6.000000000000000888e+00, 2.014335580381246826e-01, 1.600000000000000089e+00, 3.216336609715709116e+00
-1.344994089804772697e-01, 6.000000000000000888e+00, 1.583125311811741376e-01, 1.600000000000000089e+00, 3.415838762408752949e+00
1.021455759401976998e-01, 6.000000000000000888e+00, 1.165201935810703804e-01, 1.600000000000000089e+00, 3.586533649582798411e+00
2.914452922537731361e-01, 6.000000000000000888e+00, 8.008664784017452409e-02, 1.600000000000000089e+00, 3.723464124463156111e+00
4.352669099963437649e-01, 6.000000000000000888e+00, 5.065628284332514275e-02, 1.600000000000000089e+00, 3.827739635619072267e+00
5.403133141353264612e-01, 6.000000000000000888e+00, 2.818131669458876637e-02, 1.600000000000000089e+00, 3.904044169930655173e+00
6.148520928489951132e-01, 6.000000000000000888e+00, 1.171256558443018077e-02, 1.600000000000000089e+00, 3.958266880232111262e+00
6.666666666666669627e-01, 6.000000000000000888e+00, 0.000000000000000000e+00, 1.600000000000000089e+00, 4.000000000000000000e+00
6.666666666666669627e-01, 8.000000000000000000e+00, 0.000000000000000000e+00, 1.800000000000000044e+00, 0.000000000000000000e+00
6.157192442518051312e-01, 8.000000000000000000e+00, -9.718364758565512657e-03, 1.800000000000000044e+00, 4.173311976788848798e-02
5.424420114294580264e-01, 8.000000000000000000e+00, -2.333574222815632329e-02, 1.800000000000000044e+00, 9.595583006934514658e-02
4.392004013310836230e-01, 8.000000000000000000e+00, -4.182551103758742200e-02, 1.800000000000000044e+00, 1.722603643809275942e-01
2.978984789062898986e-01, 8.000000000000000000e+00, -6.586027618435011388e-02, 1.800000000000000044e+00, 2.765358755368439447e-01
1.119982909068009402e-01, 8.000000000000000000e+00, -9.529882920060972484e-02, 1.800000000000000044e+00, 4.134663504172014781e-01
-1.202617311293253943e-01, 8.000000000000000000e+00, -1.285369664118767297e-01, 1.800000000000000044e+00, 5.841612375912467181e-01
-3.924364803228632681e-01, 8.000000000000000000e+00, -1.619659718089173084e-01, 1.800000000000000044e+00, 7.836633902842906618e-01
-6.884605399881860155e-01, 8.000000000000000000e+00, -1.900520699704506544e-01, 1.800000000000000044e+00, 1.000000000000000000e+00
-9.853415885748842973e-01, 8.000000000000000000e+00, -2.065834073208981381e-01, 1.800000000000000044e+00, 1.216336609715709338e+00
-1.259524918093036128e+00, 8.000000000000000000e+00, -2.070786131638089334e-01, 1.800000000000000044e+00, 1.415838762408753171e+00
-1.493526453481766936e+00, 8.000000000000000000e+00, -1.907875460706631165e-01, 1.800000000000000044e+00, 1.586533649582798411e+00
-1.679461013755976229e+00, 8.000000000000000000e+00, -1.618866051971781239e-01, 1.800000000000000044e+00, 1.723464124463156111e+00
-1.818569989032884582e+00, 8.000000000000000000e+00, -1.275921790756984753e-01, 1.800000000000000044e+00, 1.827739635619072267e+00
-1.916010427322230925e+00, 8.000000000000000000e+00, -8.916657956046136757e-02, 1.800000000000000044e+00, 1.904044169930654951e+00
-1.975717828499705675e+00, 8.000000000000000000e+00, -4.521597538694883955e-02, 1.800000000000000044e+00, 1.958266880232111484e+00
-2.000000000000000000e+00, 8.000000000000000000e+00, 0.000000000000000000e+00, 1.800000000000000044e+00, 2.000000000000000000e+00
-1.996789147120594521e+00, 8.000000000000000000e+00, 5.229806645875981208e-02, 1.800000000000000044e+00, 2.041733119767888294e+00
-1.953827970457598262e+00, 8.000000000000000000e+00, 1.145692445162907885e-01, 1.800000000000000044e+00, 2.095955830069344827e+00
-1.865422284643349027e+00, 8.000000000000000000e+00, 1.749390019556259501e-01, 1.800000000000000044e+00, 2.172260364380927733e+00
-1.727975485329156680e+00, 8.000000000000000000e+00, 2.257657543012888124e-01, 1.800000000000000044e+00, 2.276535875536843889e+00
-1.538277917840220610e+00, 8.000000000000000000e+00, 2.590370240536900015e-01, 1.800000000000000044e+00, 2.413466350417201589e+00
-1.298396841935344881e+00, 8.000000000000000000e+00, 2.719769175859393928e-01, 1.800000000000000044e+00, 2.584161237591246607e+00
-1.017672419399386241e+00, 8.000000000000000000e+00, 2.648718265418571471e-01, 1.800000000000000044e+00, 2.783663390284290440e+00
-7.141996682162961019e-01, 8.000000000000000000e+00, 2.394396850404428845e-01, 1.800000000000000044e+00, 3.000000000000000000e+00
-4.120289668914788317e-01, 8.000000000000000000e+00, 2.014335580381246826e-01, 1.800000000000000044e+00, 3.216336609715709116e+00
-1.344994089804772697e-01, 8.000000000000000000e+00, 1.583125311811741376e-01, 1.800000000000000044e+00, 3.415838762408752949e+00
1.021455759401976998e-01, 8.000000000000000000e+00, 1.165201935810703804e-01, 1.800000000000000044e+00, 3.586533649582798411e+00
2.914452922537731361e-01, 8.000000000000000000e+00, 8.008664784017452409e-02, 1.800000000000000044e+00, 3.723464124463156111e+00
4.352669099963437649e-01, 8.000000000000000000e+00, 5.065628284332514275e-02, 1.800000000000000044e+00, 3.827739635619072267e+00
5.403133141353264612e-01, 8.000000000000000000e+00, 2.818131669458876290e-02, 1.800000000000000044e+00, 3.904044169930655173e+00
6.148520928489951132e-01, 8.000000000000000000e+00, 1.171256558443017903e-02, 1.800000000000000044e+00, 3.958266880232111262e+00
6.666666666666669627e-01, 8.000000000000000000e+00, 0.000000000000000000e+00, 1.800000000000000044e+00, 4.000000000000000000e+00
6.666666666666669627e-01, 1.000000000000000000e+01, 0.000000000000000000e+00, 2.000000000000000000e+00, 0.000000000000000000e+00
6.157192442518051312e-01, 1.000000000000000000e+01, -9.718364758565512657e-03, 2.000000000000000000e+00, 4.173311976788848798e-02
5.424420114294580264e-01, 1.000000000000000000e+01, -2.333574222815632329e-02, 2.000000000000000000e+00, 9.595583006934514658e-02
4.392004013310836230e-01, 1.000000000000000000e+01, -4.182551103758742200e-02, 2.000000000000000000e+00, 1.722603643809275942e-01
2.978984789062898986e-01, 1.000000000000000000e+01, -6.586027618435011388e-02, 2.000000000000000000e+00, 2.765358755368439447e-01
1.119982909068009402e-01, 1.000000000000000000e+01, -9.529882920060972484e-02, 2.000000000000000000e+00, 4.134663504172014781e-01
-1.202617311293253943e-01, 1.000000000000000000e+01, -1.285369664118767297e-01, 2.000000000000000000e+00, 5.841612375912467181e-01
-3.924364803228632681e-01, 1.000000000000000000e+01, -1.619659718089173084e-01, 2.000000000000000000e+00, 7.836633902842906618e-01
-6.884605399881860155e-01, 1.000000000000000000e+01, -1.900520699704506544e-01, 2.000000000000000000e+00, 1.000000000000000000e+00
-9.853415885748842973e-01, 1.000000000000000000e+01, -2.065834073208981381e-01, 2.000000000000000000e+00, 1.216336609715709338e+00
-1.259524918093036128e+00, 1.000000000000000000e+01, -2.070786131638089334e-01, 2.000000000000000000e+00, 1.415838762408753171e+00
-1.493526453481766936e+00, 1.000000000000000000e+01, -1.907875460706631165e-01, 2.000000000000000000e+00, 1.586533649582798411e+00
-1.679461013755976229e+00, 1.000000000000000000e+01, -1.618866051971781517e-01, 2.000000000000000000e+00, 1.723464124463156111e+00
-1.818569989032884582e+00, 1.000000000000000000e+01, -1.275921790756984753e-01, 2.000000000000000000e+00, 1.827739635619072267e+00
-1.916010427322231147e+00, 1.000000000000000000e+01, -8.916657956046136757e-02, 2.000000000000000000e+00, 1.904044169930654951e+00
-1.975717828499705453e+00, 1.000000000000000000e+01, -4.521597538694883955e-02, 2.000000000000000000e+00, 1.958266880232111484e+00
-2.000000000000000000e+00, 1.000000000000000000e+01, 0.000000000000000000e+00, 2.000000000000000000e+00, 2.000000000000000000e+00
-1.996789147120594521e+00, 1.000000000000000000e+01, 5.229806645875981208e-02, 2.000000000000000000e+00, 2.041733119767888294e+00
-1.953827970457598262e+00, 1.000000000000000000e+01, 1.145692445162907885e-01, 2.000000000000000000e+00, 2.095955830069344827e+00
-1.865422284643349027e+00, 1.000000000000000000e+01, 1.749390019556259501e-01, 2.000000000000000000e+00, 2.172260364380927733e+00
-1.727975485329156680e+00, 1.000000000000000000e+01, 2.257657543012888124e-01, 2.000000000000000000e+00, 2.276535875536843889e+00
-1.538277917840220610e+00, 1.000000000000000000e+01, 2.590370240536900015e-01, 2.000000000000000000e+00, 2.413466350417201589e+00
-1.298396841935344881e+00, 1.000000000000000000e+01, 2.719769175859393928e-01, 2.000000000000000000e+00, 2.584161237591246607e+00
-1.017672419399386241e+00, 1.000000000000000000e+01, 2.648718265418571471e-01, 2.000000000000000000e+00, 2.783663390284290440e+00
-7.141996682162961019e-01, 1.000000000000000000e+01, 2.394396850404428567e-01, 2.000000000000000000e+00, 3.000000000000000000e+00
-4.120289668914788317e-01, 1.000000000000000000e+01, 2.014335580381246826e-01, 2.000000000000000000e+00, 3.216336609715709116e+00
-1.344994089804772697e-01, 1.000000000000000000e+01, 1.583125311811741376e-01, 2.000000000000000000e+00, 3.415838762408752949e+00
1.021455759401976998e-01, 1.000000000000000000e+01, 1.165201935810703804e-01, 2.000000000000000000e+00, 3.586533649582798411e+00
2.914452922537731361e-01, 1.000000000000000000e+01, 8.008664784017452409e-02, 2.000000000000000000e+00, 3.723464124463156111e+00
4.352669099963437649e-01, 1.000000000000000000e+01, 5.065628284332514275e-02, 2.000000000000000000e+00, 3.827739635619072267e+00
5.403133141353264612e-01, 1.000000000000000000e+01, 2.818131669458876290e-02, 2.000000000000000000e+00, 3.904044169930655173e+00
